"Sex","Age","Bodywt","Heartgirth","Umbgirth","Length","Height"
"Male",6,104,107,126,78,101
"Female",8,122,116,134,86,107
"Male",12,166,123,148,92,109
"Male",8,114,109,130,78,99
"Male",8,134,113,135,81,104
"Male",12,174,124,154,92,119
"Male",6,114,105,125,84,102
"Male",10,168,125,140,90,107
"Male",8,134,114,131,90,107
"Female",4,96,103,122,75,94
"Male",6,110,109,130,85,104
"Male",8,112,110,124,86,107
"Male",8,116,110,126,85,102
"Male",12,100,104,118,82,102
"Male",8,132,114,131,86,106
"Female",8,114,114,136,85,102
"Female",6,96,109,124,78,98
"Male",6,134,114,135,85,108
"Female",6,98,105,132,84,100
"Male",5,118,111,126,82,105
"Female",3,106,108,120,80,102
"Male",8,132,112,136,76,107
"Male",10,120,113,121,73,103
"Male",12,106,108,122,82,102
"Male",12,138,116,136,87,113
"Female",3,106,108,130,77,103
"Male",8,108,110,127,83,102
"Male",12,150,120,145,87,116
"Male",8,100,106,125,78,100
"Male",8,136,114,138,85,116
"Male",14,168,123,147,98,116
"Female",6,138,116,138,81,107
"Male",12,120,115,124,88,113
"Male",8,138,116,153,86,110
"Male",10,130,112,130,81,105
"Female",7,132,113,149,80,102
"Male",8,130,115,138,77,106
"Male",12,156,123,135,87,114
"Female",12,174,124,150,93,114
"Male",8,144,118,137,85,109
"Female",8,122,116,141,83,106
"Male",8,174,128,152,90,119
"Male",4,94,103,122,77,95
"Female",4,76,99,120,79,90
"Female",10,138,117,139,91,105
"Male",8,116,114,128,83,107
"Male",6,128,116,138,84,105
"Female",6,164,125,155,97,117
"Male",12,200,129,160,102,119
"Female",4,116,108,129,84,104
"Male",6,114,112,127,88,109
"Male",10,124,110,124,81,105
"Female",12,104,107,124,80,104
"Female",6,94,104,123,77,95
"Male",10,134,115,135,87,108
"Female",8,136,116,137,88,111
"Female",8,130,114,134,88,108
"Male",4,106,106,128,81,104
"Male",10,128,111,131,80,104
"Male",11,108,110,130,85,103
"Male",8,114,109,118,81,102
"Male",12,132,110,138,88,106
"Male",6,108,107,121,81,101
"Female",8,106,105,128,76,98
"Female",4,96,103,118,75,95
"Male",10,100,107,124,78,103
"Female",6,138,118,143,88,112
"Male",10,108,107,132,78,92
"Female",8,118,108,129,81,101
"Female",12,130,114,143,78,102
"Female",6,96,102,123,76,96
"Male",10,146,116,145,93,114
"Female",10,126,116,136,82,105
"Female",8,178,129,155,92,116
"Female",12,106,110,126,92,104
"Female",8,110,110,131,85,104
"Male",10,116,113,120,84,105
"Male",8,144,117,137,84,113
"Female",9,120,113,136,89,107
"Male",4,90,103,122,76,98
"Female",4,108,107,127,85,103
"Female",8,120,111,136,79,96
"Male",6,108,104,126,79,99
"Male",7,106,110,122,78,104
"Female",12,146,125,148,92,110
"Female",6,122,112,125,82,103
"Male",10,130,116,137,81,103
"Male",6,128,119,132,81,106
"Female",4,104,112,123,81,102
"Female",8,120,110,143,82,102
"Female",4,104,108,129,79,99
"Female",6,116,110,129,78,101
"Female",12,124,113,139,86,102
"Male",10,130,113,133,87,106
"Male",10,98,106,121,75,97
"Male",12,156,124,145,91,113
"Male",10,150,124,143,86,119
"Male",6,106,106,124,71,98
"Female",4,112,106,128,89,98
"Female",8,108,114,131,86,99
"Male",16,116,111,131,83,101
"Male",12,114,111,126,84,102
"Male",10,98,107,124,77,103
"Female",8,140,118,143,88,106
"Male",6,96,109,124,64,96
"Male",13,142,114,141,84,103
"Female",3,78,91,121,72,86
"Male",3,76,94,112,74,94
"Male",3,82,98,109,78,94
"Male",4,58,88,106,66,82
"Female",4,74,93,117,72,95
"Female",4,74,95,106,72,99
"Male",4,68,93,105,73,96
"Female",10,120,111,137,77,104
"Male",12,114,117,123,83,104
"Male",8,126,114,142,82,106
"Male",6,144,119,139,86,107
"Male",10,126,113,132,80,102
"Male",4,122,116,138,74,108
"Male",6,124,111,139,77,102
"Male",10,118,111,139,78,98
"Male",6,120,110,130,86,102
"Male",10,128,114,141,82,106
"Female",10,142,122,144,88,111
"Male",10,130,112,140,77,101
"Male",5,124,118,137,74,112
"Male",8,120,111,137,80,102
"Male",10,116,109,126,83,105
"Male",8,118,115,129,81,104
"Female",6,98,114,122,80,103
"Female",4,82,112,118,72,102
"Male",8,94,102,123,76,99
"Male",8,104,109,124,72,100
"Male",8,120,108,138,84,103
"Male",4,122,108,136,81,103
"Male",6,108,109,129,81,101
"Female",10,128,111,138,86,110
"Female",2,78,101,126,70,92
"Female",12,158,122,150,90,108
"Female",6,144,116,147,88,106
"Male",8,120,113,130,85,103
"Female",10,126,118,138,84,112
"Male",6,152,120,130,83,110
"Male",4,114,110,133,75,101
"Male",12,128,118,136,79,108
"Male",6,106,104,126,82,96
"Male",8,154,123,143,84,106
"Male",10,120,106,141,82,98
"Male",8,97,101,121,76,96
"Male",10,125,111,132,86,104
"Female",6,120,110,129,81,102
"Female",2,112,107,121,80,96
"Male",10,169,122,142,91,111
"Female",6,152,122,140,90,109
"Male",8,222,131,156,95,117
"Male",4,104,108,116,77,99
"Male",10,165,127,134,89,104
"Female",10,144,121,113,88,107
"Female",8,111,103,115,78,96
"Female",3,135,116,123,87,101
"Female",8,156,120,132,84,100
"Male",10,102,107,107,87,103
"Female",6,131,116,120,77,103
"Male",4,123,116,117,74,99
"Female",5,108,105,113,73,98
"Female",6,125,114,120,75,102
"Female",8,191,129,128,96,113
"Female",6,152,122,120,87,110
"Female",8,149,117,123,96,108
"Female",6,149,117,122,80,99
"Female",8,175,122,120,89,112
"Male",5,123,110,119,80,96
"Female",10,157,119,144,89,104
"Female",4,108,108,115,78,95
"Female",8,128,112,108,89,102
"Male",6,121,110,123,79,102
"Female",12,144,118,115,89,104
"Male",12,140,114,138,78,104
"Male",10,100,104,115,78,95
"Female",6,128,112,122,88,103
"Male",10,154,120,131,84,108
"Male",12,128,113,127,83,100
"Female",6,140,116,128,94,110
"Female",8,114,111,119,74,103
"Female",6,148,118,132,89,102
"Male",6,148,115,124,87,106
"Male",10,166,122,136,91,111
"Female",4,120,110,126,81,103
