M_With,M_Without,F_With,F_Without,All_With,All_Without,FIPS
9588,1364,9291,1510,18879,2874,05083
29648,4044,31951,3462,61599,7506,05085
6461,1384,6587,1199,13048,2583,05087
6880,1224,7080,1120,13960,2344,05089
17114,3465,18108,3769,35222,7234,05091
17754,3431,19318,3527,37072,6958,05093
3037,567,3412,620,6449,1187,05095
3605,881,3865,705,7470,1586,05097
3408,824,3731,631,7139,1455,05099
3470,553,3379,594,6849,1147,05101
10245,1311,11605,1487,21850,2798,05103
4607,478,4566,527,9173,1005,05105
7585,1824,9003,1794,16588,3618,05107
4360,993,4734,847,9094,1840,05109
9578,2099,10369,1842,19947,3941,05111
8138,1727,8596,1765,16734,3492,05113
26407,4371,27067,4343,53474,8714,05115
3510,522,3650,570,7160,1092,05117
155362,28215,177974,23280,333336,51495,05119
7056,1477,7688,1129,14744,2606,05121
9159,2301,10761,1502,19920,3803,05123
48403,6658,52131,5374,100534,12032,05125
4655,872,4639,631,9294,1503,05127
3284,668,3306,618,6590,1286,05129
52036,9869,54137,10109,106173,19978,05131
6695,1825,6927,1633,13622,3458,05133
6873,1357,7332,1315,14205,2672,05135
5402,908,5237,859,10639,1767,05137
16488,2920,17939,2885,34427,5805,05139
6656,1663,7101,1386,13757,3049,05141
89087,18167,92453,14933,181540,33100,05143
32331,6006,34463,5243,66794,11249,05145
2662,686,2965,550,5627,1236,05147
8865,1837,9456,1380,18321,3217,05149
25743,9201,28542,7852,54285,17053,04001
47589,6771,55718,6614,103307,13385,04003
53505,13515,57656,11293,111161,24808,04005
21863,4070,22671,3830,44534,7900,04007
13834,2323,15164,2098,28998,4421,04009
4139,584,3643,617,7782,1201,04011
8733,1429,8625,1321,17358,2750,04012
1633881,332342,1747583,275016,3381464,607358,04013
79661,16608,86521,14132,166182,30740,04015
41839,10188,44822,8626,86661,18814,04017
404930,70973,444390,59712,849320,130685,04019
155409,24692,163328,23603,318737,48295,04021
18361,3991,20136,4339,38497,8330,04023
90324,14466,95351,14369,185675,28835,04025
76032,20388,81132,17421,157164,37809,04027
681621,88190,732996,70544,1414617,158734,06001
512,142,400,77,912,219,06003
14369,1631,15820,1060,30189,2691,06005
92483,16326,98566,12938,191049,29264,06007
19250,2526,20634,1972,39884,4498,06009
8848,2183,8582,1592,17430,3775,06011
474034,57497,510094,48931,984128,106428,06013
10237,1462,11012,1310,21249,2772,06015
81148,9011,83819,7027,164967,16038,06017
379453,88591,410573,66736,790026,155327,06019
11142,2797,11606,2187,22748,4984,06021
54679,11986,56929,10368,111608,22354,06023
66068,14972,71962,14770,138030,29742,06025
7794,1063,8106,971,15900,2034,06027
344109,73189,358933,60514,703042,133703,06029
53683,10579,57172,9062,110855,19641,06031
25756,5905,27121,4688,52877,10593,06033
10144,1107,9576,1144,19720,2251,06035
3904322,997326,4230137,837175,8134459,1834501,06037
57486,14771,62076,10344,119562,25115,06039
111107,10737,123055,8224,234162,18961,06041
7924,871,8092,729,16016,1600,06043
35930,7213,38036,5443,73966,12656,06045
106738,23878,112633,17643,219371,41521,06047
3678,797,3881,584,7559,1381,06049
5317,1929,5413,1413,10730,3342,06051
160439,42733,173038,33794,333477,76527,06053
59832,8787,62340,7435,122172,16222,06055
41033,6956,43911,5718,84944,12674,06057
1292176,237090,1361429,208099,2653605,445189,06059
158349,18543,172630,13950,330979,32493,06061
8108,1407,8361,926,16469,2333,06063
916746,207979,974823,175978,1891569,383957,06065
607503,96682,666343,79357,1273846,176039,06067
24382,4284,25574,3155,49956,7439,06069
825890,177988,886691,159538,1712581,337526,06071
1301142,234576,1380888,206949,2682030,441525,06073
384329,40788,380762,30288,765091,71076,06075
290726,55049,311300,42817,602026,97866,06077
117241,17433,120210,14696,237451,32129,06079
330032,36082,349501,29233,679533,65315,06081
175112,37490,186064,30108,361176,67598,06083
840137,93794,849441,75798,1689578,169592,06085
115040,17940,121172,13853,236212,31793,06087
73691,13334,79630,10912,153321,24246,06089
1238,258,1387,108,2625,366,06091
18728,2957,19573,2444,38301,5401,06093
175710,24415,193177,19391,368887,43806,06095
208988,31276,224981,25613,433969,56889,06097
217812,41373,231370,33483,449182,74856,06099
38662,7984,41134,6258,79796,14242,06101
26592,4414,27736,3843,54328,8257,06103
5379,1332,5355,1094,10734,2426,06105
180176,44296,190135,35140,370311,79436,06107
22107,3017,23557,2159,45664,5176,06109
347674,63746,371628,51009,719302,114755,06111
87463,12481,95866,9946,183329,22427,06113
29943,5357,31024,4787,60967,10144,06115
189978,44652,197245,35868,387223,80520,08001
6483,1147,7379,814,13862,1961,08003
252809,43197,271608,35597,524417,78794,08005
4749,1386,4721,1212,9470,2598,08007
1438,301,1643,218,3081,519,08009
1493,338,1601,192,3094,530,08011
140104,14558,141062,12224,281166,26782,08013
27449,2447,28789,1679,56238,4126,08014
7356,1459,7403,1018,14759,2477,08015
811,220,747,179,1558,399,08017
4096,515,4092,306,8188,821,08019
3320,750,3543,595,6863,1345,08021
1581,285,1395,320,2976,605,08023
1759,271,2125,266,3884,537,08025
1613,524,1736,413,3349,937,08027
11449,2812,12536,2420,23985,5232,08029
267697,53725,282385,39310,550082,93035,08031
899,118,758,87,1657,205,08033
143468,8170,147150,7231,290618,15401,08035
22270,5524,20430,4256,42700,9780,08037
10597,1313,10716,1135,21313,2448,08039
266035,37593,290199,30351,556234,67944,08041
14966,2281,16985,1946,31951,4227,08043
20773,7848,21056,6668,41829,14516,08045
2491,343,2426,292,4917,635,08047
6134,1509,5371,1336,11505,2845,08049
6999,1402,6139,1059,13138,2461,08051
356,60,394,64,750,124,08053
2602,584,2728,405,5330,989,08055
582,122,572,54,1154,176,08057
240890,28944,253891,22256,494781,51200,08059
544,115,676,99,1220,214,08061
2923,574,3029,542,5952,1116,08063
3236,742,2684,643,5920,1385,08065
21982,4645,22642,3415,44624,8060,08067
139780,17059,145434,13510,285214,30569,08069
5944,1071,6018,970,11962,2041,08071
1416,115,2073,159,3489,274,08073
9154,2218,8832,1110,17986,3328,08075
62209,10578,64142,9629,126351,20207,08077
353,28,325,27,678,55,08079
5485,1268,5327,913,10812,2181,08081
9654,2983,10467,2391,20121,5374,08083
16045,3781,16771,3816,32816,7597,08085
12045,1757,12343,1744,24388,3501,08087
7592,1415,8057,1311,15649,2726,08089
1844,395,2086,255,3930,650,08091
7209,1208,6891,733,14100,1941,08093
1913,309,1816,268,3729,577,08095
7865,1330,7024,1144,14889,2474,08097
5046,965,5307,732,10353,1697,08099
66883,10100,73703,6961,140586,17061,08101
3068,361,2880,309,5948,670,08103
4698,960,4985,882,9683,1842,08105
10917,1385,9954,1252,20871,2637,08107
2162,937,2244,871,4406,1808,08109
264,63,226,53,490,116,08111
3475,562,3155,453,6630,1015,08113
964,164,1108,99,2072,263,08115
12116,3713,10374,2654,22490,6367,08117
10383,1275,10200,1245,20583,2520,08119
2001,259,2092,170,4093,429,08121
117241,16815,118408,15738,235649,32553,08123
4057,678,4550,756,8607,1434,08125
398180,55567,432919,44703,831099,100270,09001
390154,34444,430902,26115,821056,60559,09003
84207,7090,88395,5185,172602,12275,09005
74580,5483,79505,3690,154085,9173,09007
371693,38036,413529,28371,785222,66407,09009
117687,9625,127638,6301,245325,15926,09011
69525,4026,72384,2882,141909,6908,09013
52591,4669,55081,3442,107672,8111,09015
276285,22198,323314,14813,599599,37011,11001
71860,7217,81320,5658,153180,12875,10001
236835,22972,262252,19167,499087,42139,10003
87643,11295,96771,8798,184414,20093,10005
103064,18026,114762,15667,217826,33693,12001
10298,1772,11081,1480,21379,3252,12003
68041,15563,74296,13119,142337,28682,12005
9447,2538,10148,1770,19595,4308,12007
223646,43920,244237,36499,467883,80419,12009
701051,186805,768123,176118,1469174,362923,12011
4924,1212,5067,1382,9991,2594,12013
65469,12778,72012,12279,137481,25057,12015
56990,9243,62626,8906,119616,18149,12017
81814,12802,87934,11830,169748,24632,12019
129514,37119,141173,31428,270687,68547,12021
25684,4960,27284,5238,52968,10198,12023
12016,6079,12514,2527,24530,8606,12027
5773,1510,5975,1316,11748,2826,12029
348726,69632,393413,61083,742139,130715,12031
116879,22448,132565,18328,249444,40776,12033
40356,7640,45070,7344,85426,14984,12035
3898,1082,3899,903,7797,1985,12037
16381,4465,19672,3451,36053,7916,12039
6212,1652,6150,1794,12362,3446,12041
4492,1533,4683,1214,9175,2747,12043
5660,1346,5374,1079,11034,2425,12045
4472,903,4844,828,9316,1731,12047
9773,3558,9673,2790,19446,6348,12049
12624,6343,12932,4928,25556,11271,12051
69276,13919,77784,11982,147060,25901,12053
39100,8307,42730,7146,81830,15453,12055
513975,113535,566133,97187,1080108,210722,12057
6781,1939,7454,1544,14235,3483,12059
55362,12465,62107,11598,117469,24063,12061
17614,2648,18268,2817,35882,5465,12063
4579,594,5855,714,10434,1308,12065
2563,950,2877,624,5440,1574,12067
125259,22303,138043,21490,263302,43793,12069
255054,66636,280570,55914,535624,122550,12071
115325,17626,131496,15063,246821,32689,12073
15211,4276,16052,3841,31263,8117,12075
2740,935,2544,555,5284,1490,12077
6335,1640,7137,1571,13472,3211,12079
133634,30738,149647,26970,283281,57708,12081
128783,29261,144671,26132,273454,55393,12083
60203,12641,67195,8716,127398,21357,12085
913720,345984,1029301,323198,1943021,669182,12086
29681,9093,27902,7520,57583,16613,12087
30711,6234,33052,5141,63763,11375,12089
73497,13973,81113,12515,154610,26488,12091
13706,4583,14278,3667,27984,8250,12093
467393,128157,507628,114016,975021,242173,12095
112065,34689,121293,30788,233358,65477,12097
529441,128224,596926,111457,1126367,239681,12099
193843,35107,212253,32228,406096,67335,12101
365646,75277,414317,64993,779963,140270,12103
244527,54900,269368,48305,513895,103205,12105
26738,8046,29921,6747,56659,14793,12107
89166,11914,97157,10407,186323,22321,12109
111403,27579,121141,25709,232544,53288,12111
63955,10401,68241,9510,132196,19911,12113
156083,29291,177734,25125,333817,54416,12115
175304,34653,193878,30781,369182,65434,12117
42824,4040,47895,4641,90719,8681,12119
16064,4338,18457,3256,34521,7594,12121
7353,1417,8621,1209,15974,2626,12123
4013,645,4612,749,8625,1394,12125
195665,46346,218308,37655,413973,84001,12127
11867,1904,12202,1544,24069,3448,12129
22001,6235,24485,4684,46486,10919,12131
9143,1767,9808,1333,18951,3100,12133
6884,1813,7352,1904,14236,3717,13001
2825,1239,2946,1258,5771,2497,13003
4042,1127,4639,893,8681,2020,13005
1242,337,1360,353,2602,690,13007
17553,3212,20229,2532,37782,5744,13009
7764,1546,7383,1626,15147,3172,13011
29308,6640,29988,5862,59296,12502,13013
40864,8691,42129,8803,82993,17494,13015
6364,1800,7307,1686,13671,3486,13017
6868,2398,7046,2399,13914,4797,13019
57314,12905,68408,12534,125722,25439,13021
5107,829,5784,661,10891,1490,13023
6714,2402,6844,2433,13558,4835,13025
5831,1825,6442,1500,12273,3325,13027
13252,2139,14659,2148,27911,4287,13029
29523,5724,30317,5977,59840,11701,13031
8811,2074,9966,1911,18777,3985,13033
8376,1778,9064,1781,17440,3559,13035
1590,514,2045,524,3635,1038,13037
19948,3210,21611,3033,41559,6243,13039
3697,1481,4227,1339,7924,2820,13043
44101,9868,48004,9459,92105,19327,13045
26625,4978,29051,4201,55676,9179,13047
4584,1208,4690,1299,9274,2507,13049
104174,23951,119106,24088,223280,48039,13051
3063,521,3390,255,6453,776,13053
9063,2149,10018,2139,19081,4288,13055
93307,17236,99818,14680,193125,31916,13057
46322,10381,53847,9368,100169,19749,13059
1022,463,1258,303,2280,766,13061
91148,33348,106904,32596,198052,65944,13063
2631,644,2665,720,5296,1364,13065
283287,61679,312433,56631,595720,118310,13067
14017,4585,16269,4704,30286,9289,13069
15045,7292,17560,5434,32605,12726,13071
57173,6985,62660,6391,119833,13376,13073
6130,2021,6425,2313,12555,4334,13075
56787,8063,60351,7622,117138,15685,13077
5257,1072,5226,836,10483,1908,13079
8719,1980,9882,2284,18601,4264,13081
6555,1335,7142,1264,13697,2599,13083
9301,1797,9935,1457,19236,3254,13085
9471,2732,11253,2606,20724,5338,13087
266420,70503,307491,64529,573911,135032,13089
7503,1809,8548,1351,16051,3160,13091
4541,1544,5394,1140,9935,2684,13093
32319,9804,40211,9197,72530,19001,13095
53134,11539,59541,11129,112675,22668,13097
3871,934,4701,914,8572,1848,13099
1259,634,1488,667,2747,1301,13101
22974,3773,22833,4476,45807,8249,13103
7653,1521,8694,1435,16347,2956,13105
7750,2841,9203,2169,16953,5010,13107
3903,817,4597,1013,8500,1830,13109
9310,2140,10093,2040,19403,4180,13111
47425,4750,50925,4698,98350,9448,13113
36663,8536,40916,7882,77579,16418,13115
85640,11472,87649,10870,173289,22342,13117
8671,2036,9360,1836,18031,3872,13119
395438,75916,432816,71007,828254,146923,13121
10809,3588,11237,2791,22046,6379,13123
1233,242,1243,274,2476,516,13125
30774,7351,35063,7594,65837,14945,13127
21972,5414,22625,5339,44597,10753,13129
9315,3037,9964,2735,19279,5772,13131
6205,1667,6972,1310,13177,2977,13133
330105,87272,355186,81567,685291,168839,13135
16605,3957,16796,3866,33401,7823,13137
73737,19196,76493,17175,150230,36371,13139
